numero_obra,nombre_obra,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,renglon_numero,renglon_descripcion,provincia_id,provincia_nombre,departamento_id,departamento_nombre,localidad_id,localidad_nombre
46/1-0040-OBR22,"OBRA “SISTEMA DE ILUMINACIÓN R.N. N°33 - KM 282,78 - ACC. TRES LOMAS Y 30 DE AGOSTO”",46/01,46/01 - 19° Bahía Blanca - DNV,604,604 - Dirección Nacional de Vialidad,11927,4.2.2-8181.1,INST. ALUMBRADO PUBLICO; DESCRIPCION: INST.ALUMB.PUBLICO,148,BUENOS AIRES,94579,TRES LOMAS,5426,TRES LOMAS
501-0005-OBR22,Reforma Sanitarios - Hospital POSADAS.,501/000,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,11935,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,148,BUENOS AIRES,94417,MORON,5916,EL PALOMAR
46-0041-OBR22,"OBRA DE REPAVIMENTACIÓN, RUTA SEGURA Y ENSANCHE DE PUENTES EXISTENTES, RUTA NACIONAL N° 193",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11756,4.2.2-10008.17,"OBRAS VIALIDAD NACIONAL; TIPO: REHABILITACION DE RUTA, DESCRIPCION: REPAVIMENTACION",148,BUENOS AIRES,94603,ZARATE,5527,ZARATE
46/10-0042-OBR22,REPARACIÓN DE MÉNSULAS DE HORMIGÓN DE TRAMOS ISOSTÁTICOS DEL PUENTE S/ RÍO CORRIENTES,46/10,46/10 - 10° Corrientes - DNV,604,604 - Dirección Nacional de Vialidad,11934,4.2.2-10008.45,"OBRAS VIALIDAD NACIONAL; TIPO: PUENTES, DESCRIPCION: REPARACION/MEJORA DE PUENTE",154,CORRIENTES,94251,ESQUINA,10204,ESQUINA
46-0043-OBR22,"OBRA DE REPAVIMENTACIÓN, RUTA NACIONAL N° 9, TRAMO: CAMPANA – ROSARIO",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11884,4.2.2-10008.17,"OBRAS VIALIDAD NACIONAL; TIPO: REHABILITACION DE RUTA, DESCRIPCION: REPAVIMENTACION",148,BUENOS AIRES,94154,CAMPANA,5242,CAMPANA
46-0044-OBR22,"OBRA RUTA NACIONAL N° 5. AUTOPISTA MERCEDES - INICIO VARIANTE SUIPACHA, TRAMO: KM. 104 - KM 124.",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11883,4.2.2-10008.1,"OBRAS VIALIDAD NACIONAL; TIPO: AUTOPISTAS Y AUTOVIAS, DESCRIPCION: CONSTR. 2ª CALZADA P/AUTOPISTA",148,BUENOS AIRES,94403,MERCEDES,6655,MERCEDES
46/4-0045-OBR22,"OBRA POR DELEGACIÓN DE FACULTADES: REPARACIÓN LOSAS H°, RNNº 40, PCIA. MENDOZA",46/04,46/04 - 4° Mendoza - DNV,604,604 - Dirección Nacional de Vialidad,11972,4.2.2-10008.23,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANTENIMIENTO DE RUTINA",160,MENDOZA,94091,LAS HERAS,12936,EL ZAPALLAR
46/4-0045-OBR22,"OBRA POR DELEGACIÓN DE FACULTADES: REPARACIÓN LOSAS H°, RNNº 40, PCIA. MENDOZA",46/04,46/04 - 4° Mendoza - DNV,604,604 - Dirección Nacional de Vialidad,11972,4.2.2-10008.23,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANTENIMIENTO DE RUTINA",160,MENDOZA,94091,LAS HERAS,12934,EL PLUMERILLO
46/4-0045-OBR22,"OBRA POR DELEGACIÓN DE FACULTADES: REPARACIÓN LOSAS H°, RNNº 40, PCIA. MENDOZA",46/04,46/04 - 4° Mendoza - DNV,604,604 - Dirección Nacional de Vialidad,11972,4.2.2-10008.23,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANTENIMIENTO DE RUTINA",160,MENDOZA,94091,LAS HERAS,12931,EL ALGARROBAL
46/18-0047-OBR22,DEFENSA MARGEN IZQUIERDO RÍO BERMEJO PTE. LAVALLE,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,11975,4.2.2-10008.45,"OBRAS VIALIDAD NACIONAL; TIPO: PUENTES, DESCRIPCION: REPARACION/MEJORA DE PUENTE",156,FORMOSA,94434,PATIÑO,11351,PUERTO LAVALLE
