procedimiento_numero,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,numero_obra,nombre_obra,ues_nombre,plazo_ejecucion_obra,plazo_ejecucion_obra_tipo,latitud_1,longitud_1,latitud_2,longitud_2
46/19-0092-LPU22,46/19,46/19 - 1° Buenos Aires - DNV,604,604 - Dirección Nacional de Vialidad,13107,46/19-0011-OBR23,OBRA CONSTRUCCION DE CALZADA RUTA PROVINCIAL Nº 31,1859,12,4,-34.221701,-59.445852,-34.233937,-59.473118
46/13-0226-LPU22,46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,13099,46/13-0012-OBR23,"OBRA DE CONSERVACIÓN MEJORATIVA RNN° 25. LAS CHAPAS - LAS PLUMAS. KM 199,32 - 207,14.",1871,4,4,-43.684903,-67.177836,-43.720703,-67.288064
46/13-0108-LPU22,46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,13072,46/13-0013-OBR23,"OBRA DE CONSERVACIÓN MEJORATIVA RN N° 40 - PROVINCIA DEL CHUBUT. KM. 1324,69 - KM. 1367,81",1871,5,4,-45.999769,-70.438811,-46.002081,-70.405431
46/16-0130-LPU22,46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,13115,46/16-0014-OBR23,"Iluminación Rotonda Bandera RNN98 (Km 226,31) - Lte. Sta. Fe/Sgo. del Estero - Bandera",1874,3,4,-28.894931,-62.265878,,
46-0298-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11983,46-0015-OBR23,VIALIDAD,1859,72,4,-38.822417,-62.701719,-38.975869,-64.105739
46/17-0311-LPU22,46/17,46/17 - 17° Entre Rios - DNV,604,604 - Dirección Nacional de Vialidad,13123,46/17-0016-OBR23,"Tareas de mantenimiento en Puente sobre A° La Ensenada -Ruta Nacional N° 131, Entre Ríos-",1875,6,4,-32.083829,-60.490414,,
46-0026-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13105,46-0017-OBR23,"Ruta Nacional N° 8 Autopista: Pilar – Pergamino, Tramo: IIB, en la Provincia de Buenos Aires.",1859,8,4,-34.27,-59.41,,
46/19-0261-LPU22,46/19,46/19 - 1° Buenos Aires - DNV,604,604 - Dirección Nacional de Vialidad,13100,46/19-0018-OBR23,AMPLIACIÓN Y MEJORA DEL DISTRIBUIDOR EN CRUCE CON RUTA PROVINCIAL Nº 41.,1773,6,4,-34.243944,-59.438073,,
46-0055-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11990,46-0019-OBR23,MALLA 405-A. RUTA NACIONAL N° 89,1876,72,4,-27.336012,-61.275309,-27.662555,-62.44682
46-0036-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13102,46-0021-OBR23,"REPAVIMENTACIÓN Y RUTA SEGURA EN RUTA NACIONAL N° 3, TRAMO: AZUL – CORONEL DORREGO",1859,18,4,-38.17,-60.23,,
46-0150-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13134,46-0022-OBR23,CONSTRUCCIÓN DE BANQUINAS PAVIMENTADAS Y CARRILES DE SOBREPASO EN RUTA NACIONAL N° 226,1859,12,4,-37.819,-58.219,,
501-0034-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13124,501-0001-OBR23,MHN MONUMENTO A LA BANDERA,4694,9,4,-32.947393,-60.633068,,
501-0026-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13133,501-0002-OBR23,Ex CCDTyE CAMPO DE MAYO. Espacio de Memoria y Promoción de los DDHH,4694,12,4,-34.535587,-58.662496,,
