id_procedimiento,procedimiento_numero,id_acta_apertura,fecha_creacion,cantidad_ofertas_confirmadas,id_oferta,id_proveedor,razon_social
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26398,11974,Prat S.R.L.
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26399,12474,CASA IMAZ ASCENSORES SRL
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26339,11782,NAXOS KUT S.A.
11345,46/1-0041-LPU22,9630,2022-06-09T11:00:00,1,27400,17197,
11346,46-0043-LPU22,8629,2022-06-08T10:00:00,4,26397,11706,Vialmani S.A.
11346,46-0043-LPU22,8629,2022-06-08T10:00:00,4,26395,11508,PEITEL S.A.
11346,46-0043-LPU22,8629,2022-06-08T10:00:00,4,26393,11500,HOMAQ S.A.
11346,46-0043-LPU22,8629,2022-06-08T10:00:00,4,26358,11650,TECNIPISOS S.A.
11347,46-0044-LPU22,8626,2022-06-06T12:00:00,3,26373,11508,PEITEL S.A.
11347,46-0044-LPU22,8626,2022-06-06T12:00:00,3,26377,11650,TECNIPISOS S.A.
11347,46-0044-LPU22,8626,2022-06-06T12:00:00,3,26381,11500,HOMAQ S.A.
11348,46-0048-LPU22,9648,2022-07-19T12:00:00,3,27447,12359,
11348,46-0048-LPU22,9648,2022-07-19T12:00:00,3,27453,12095,Alejandro Jesus del CAMPILLO JAIME
11348,46-0048-LPU22,9648,2022-07-19T12:00:00,3,27460,17858,PILMABIA SA
11349,46/12-0049-LPU22,9714,2022-10-17T10:00:00,2,27628,19923,EDUCTRADE S A SUCURSAL EMPRESA EXTRANJERA
11349,46/12-0049-LPU22,9714,2022-10-17T10:00:00,2,27629,11805,CGI CONSULTORA SRL
11350,501-0013-LPU22,9656,2022-08-03T12:00:00,1,27483,11615,TRACE GROUP S.A.
11352,501-0015-LPU22,9773,2023-01-25T12:00:00,2,27748,18044,Constructora J&J SAS
11352,501-0015-LPU22,9773,2023-01-25T12:00:00,2,27750,19971,VICTOR FELIX RAFAEL ZALAZAR
11353,501-0016-LPU22,9774,2023-01-25T12:00:00,1,27749,18044,Constructora J&J SAS
11358,46-0054-LPU22,8625,2022-06-06T10:00:00,3,26382,11508,PEITEL S.A.
11358,46-0054-LPU22,8625,2022-06-06T10:00:00,3,26379,11608,Rovella Carranza S.A.
11358,46-0054-LPU22,8625,2022-06-06T10:00:00,3,26375,11865,Gonzalo Rodriguez del Pozo
11359,46-0055-LPU22,9642,2022-07-06T10:00:00,5,27443,11584,SISTECO SRL
11359,46-0055-LPU22,9642,2022-07-06T10:00:00,5,27444,11865,Gonzalo Rodriguez del Pozo
11359,46-0055-LPU22,9642,2022-07-06T10:00:00,5,27433,11918,Marcelo Gabriel caravello
11359,46-0055-LPU22,9642,2022-07-06T10:00:00,5,27435,11858,Claudio manuel Do santo
11359,46-0055-LPU22,9642,2022-07-06T10:00:00,5,27425,12292,PRADERAS CONSTRUCCIONES SA
11360,46/11-0056-LPU22,9826,2023-04-26T12:00:00,1,28899,12231,OIKOS SA
11361,46-0058-LPU22,9652,2022-07-21T10:00:00,6,27428,11650,TECNIPISOS S.A.
11361,46-0058-LPU22,9652,2022-07-21T10:00:00,6,27462,12292,PRADERAS CONSTRUCCIONES SA
11361,46-0058-LPU22,9652,2022-07-21T10:00:00,6,27463,11858,Claudio manuel Do santo
11361,46-0058-LPU22,9652,2022-07-21T10:00:00,6,27464,11500,HOMAQ S.A.
11361,46-0058-LPU22,9652,2022-07-21T10:00:00,6,27465,11918,Marcelo Gabriel caravello
11361,46-0058-LPU22,9652,2022-07-21T10:00:00,6,27467,11865,Gonzalo Rodriguez del Pozo
11362,501-0017-LPU22,9684,2022-09-19T14:00:00,1,27519,12115,Brian Irvine Reid
